chr16	86430087	86430726
chr16	55079237	55080429
chr16	51657810	51658716
chr16	72404533	72407591
chr13	71343609	71344868
chr13	73081447	73083754
chr1	87821621	87823082
chr1	51165195	51166786
chr3	136982707	136984175
chr3	147049536	147051100
chr2	174985544	174987464
chr3	180436427	180437958
chr4	13009318	13010327
chr1	44989824	44991149
chr8	37249594	37251182
chr9	13939547	13940363
chr9	81471747	81473114
chr9	81870622	81872224
chr10	103266649	103267972
chr10	124851813	124853071
chr11	131867949	131868377
chr17	35011848	35012557
chr18	22692416	22693640
chr18	72357475	72358333
chr2	7774393	7775070
chr2	157899792	157900721
chr12	115124394	115125300
chr10	77164564	77165639
chr22	19749356	19750055
chr5	44389166	44390467
chr2	236773458	236774696
chr5	92811465	92813217
chr2	147172004	147173802
chr3	157882303	157883963
chr3	157589226	157590363
chr9	116726436	116727813
chr7	18885971	18887230
chr3	157903310	157904642
chr8	77690683	77691779
chr8	21845388	21846455
chr18	72567672	72569282
chr8	37495309	37496204
chr19	30747057	30748648
chr1	88615687	88616927
chr12	24233884	24235634
chr4	145276813	145278719
chr13	78976015	78977338
chr8	116430695	116432527
chr2	236962599	236964857
chr7	70103123	70104331
chr1	209989050	209989824
chr3	71099157	71100851
chr9	82681268	82682692
chr6	98074091	98075722
chr5	92031088	92033197
chr2	58975738	58977115
chr5	91940922	91942042
chr2	103909358	103911221
chr5	157589029	157590477
chr7	21019551	21021200
chr14	53833457	53836210
chr2	58859997	58861674
chr1	163507965	163509139
chr5	158017768	158019067
chr10	119589659	119591176
chr5	174160174	174161834
chr3	157779422	157781220
chr7	155547616	155548788
chr22	28238313	28239718
chr2	19774115	19776218
chr20	10793183	10794439
chr16	52468529	52471762
chr1	61917795	61920190
chr11	12865332	12868546
chr6	9095334	9096985
chr9	92292484	92293889
chr5	124708335	124710392
chr9	38425496	38429775
chr14	68634843	68636060
chr3	158085650	158086832
chr14	54687583	54688495
chr8	78370218	78372418
chr12	59460190	59462367
chr1	119028026	119029955
chr7	28114903	28117771
chr8	49494150	49495734
chr5	81318882	81321683
chr3	168958333	168962944
chr10	78282592	78284988
chr11	75758037	75760619
chr3	55017475	55018560
chr10	77021198	77022845
chr4	95589445	95591459
chr18	43168347	43170729
chr21	17951012	17953659
chr1	169910396	169913079
chr17	2079772	2081236
chr9	113923350	113928045
chr20	54241646	54244672
chr6	105044981	105046701
chr3	193677518	193680170
chr6	45847301	45850554
chr3	94051018	94053829
chr9	89648350	89651598
chr18	43133056	43135229
chr7	25919000	25922541
chr14	77384641	77387697
chr17	68999469	69000768
chr12	59361630	59364518
chr13	80232246	80234630
chr5	134769599	134772144
chr3	79042278	79045053
chr2	159779317	159780341
chr2	71898013	71900892
chr2	37643870	37645460
chr8	122076654	122078139
chr1	62045460	62048159
chr1	59522325	59524092
chr14	95836414	95839481
chr1	54925046	54928826
chr11	1985072	1987372
chr10	80295449	80297087
chr10	76513161	76514681
chr2	220713868	220717300
chr21	40361359	40363126
chr4	124775814	124779530
chr9	81010879	81014103
chr10	35972892	35975932
chr7	42185602	42187508
chr8	93070697	93073395
chr7	25695037	25697616
chr12	23211482	23214744
chr7	28630662	28634883
chr16	73825193	73828566
chr16	86943367	86946175
chr14	68976404	68979383
chr22	20775061	20779007
chr1	56240104	56242435
chr7	90753895	90758080
chr2	220771085	220773279
chr5	101999073	102003903
chr8	77751553	77754343
chr3	112811494	112816407
chr6	101743524	101745234
chr8	27752440	27753351
chrX	123350827	123352587
chr1	8130439	8131887
chr10	3851587	3853863
chr8	129987805	129988581
chr1	156630249	156635284
chr2	43444721	43447298
chr2	241307979	241312994
chr1	79541347	79549134
chr13	105768073	105771898
chr3	141579463	141580810
chr7	107587162	107588892
chr7	151389885	151395078
chr21	44010872	44014322
chr7	18868716	18870405
chr7	18874272	18875369
chr7	95705089	95705696
chr7	95726279	95727680
chr7	95765880	95766473
chr7	82039621	82041108
chr12	91531664	91537471
